1440	1849
480	1485
720	1480
960	1422
1680	1320
360	1316
1800	1263
840	1207
1080	1128
1920	1112
1824	1109
1320	1081
1368	1057
1560	1055
240	1037
864	1025
1728	997
1260	989
1120	982
120	976
1200	962
1224	956
672	950
1512	927
1344	922
1584	914
1760	863
1008	861
1296	852
600	843
288	834
1980	823
1248	821
792	819
576	808
432	791
540	785
648	758
1152	752
1792	743
1632	742
900	737
180	736
320	735
504	733
684	732
448	730
224	729
1656	723
1400	722
560	721
1360	716
160	701
800	701
780	700
384	694
1600	689
912	688
1280	688
880	686
896	685
420	684
216	684
936	673
1960	671
144	670
1456	660
640	660
1056	659
1140	653
624	646
1188	645
192	642
1872	637
756	632
352	632
768	632
1536	630
252	629
612	622
1764	619
280	619
680	613
1176	606
1710	605
440	599
1232	590
704	587
1408	586
1540	584
1836	584
728	579
456	578
336	573
660	568
1848	562
1216	560
1376	556
1530	553
1944	552
608	543
396	540
816	538
1312	533
1596	531
400	529
1092	525
1568	520
312	518
1840	516
1170	515
1548	512
1504	502
1088	499
364	497
1392	493
736	491
928	486
570	485
1040	483
924	477
1856	476
1472	473
532	471
1500	469
168	466
1480	466
1444	464
990	459
342	459
722	458
544	457
1634	456
1380	455
1330	453
630	447
1064	443
1860	442
646	441
1890	435
700	435
468	433
828	432
1908	426
1690	425
1104	424
390	421
520	421
1880	421
140	420
200	420
1700	420
920	418
528	415
1740	415
1000	414
1044	411
304	410
1888	408
1900	407
1870	406
1020	406
980	406
1640	405
1476	404
340	403
1404	402
1292	400
408	399
1160	399
1608	398
1240	397
616	384
1768	383
1332	383
1350	381
1672	380
324	377
972	376
1692	374
1116	374
1650	365
300	364
308	361
696	360
836	356
418	356
1190	356
552	355
270	355
442	353
1904	352
1026	350
1050	348
918	346
1032	345
784	344
1254	340
1752	340
182	338
884	338
330	337
1122	334
1300	331
1100	327
272	326
588	326
264	325
450	325
1968	323
1428	313
112	311
210	306
220	305
1638	302
228	301
306	301
1184	301
572	298
1862	298
1952	298
1470	296
152	296
108	296
286	295
256	293
1024	293
798	291
266	289
1488	287
128	285
1342	283
992	280
1288	275
510	274
1984	274
1036	272
196	269
984	269
1666	268
1144	268
1590	266
770	265
1148	265
170	265
950	264
1696	264
476	264
512	263
198	261
644	259
850	257
1316	257
1204	257
1290	256
1220	256
150	256
96	256
204	255
1936	252
814	252
1482	252
1830	249
1950	248
392	247
1416	245
740	244
1484	243
1628	242
988	241
1708	240
1652	239
1704	238
870	237
1736	237
1938	235
132	234
1610	234
1988	232
812	228
868	228
1976	227
750	227
1406	226
1624	225
690	225
1770	224
594	224
190	223
650	223
176	222
952	222
874	221
1786	221
1410	220
1802	220
1110	220
1372	220
1272	219
930	217
1128	217
1648	216
1102	215
1748	214
1278	214
2000	212
1896	212
774	211
1558	211
462	210
494	210
156	210
380	209
1782	208
1734	206
744	205
110	205
1156	205
1694	205
546	205
154	204
1078	203
1780	203
1178	203
1716	202
1660	201
114	200
760	199
1992	199
1458	199
1452	198
136	198
940	197
1520	197
810	197
578	195
1060	193
260	192
1134	190
1430	189
550	189
1460	189
1106	188
500	186
1258	183
1230	182
1464	178
1054	178
126	177
620	177
1210	177
1326	177
1580	176
580	176
1180	175
820	174
460	171
1554	170
1620	170
1794	169
882	169
1340	164
1742	163
1612	161
1136	160
378	160
1378	160
1012	159
806	159
1222	158
1940	158
962	158
1750	157
1924	157
804	156
490	154
1066	153
1846	152
1236	151
1534	148
1166	146
946	144
2002	143
1826	141
1892	139
1958	139
1276	137
1474	137
1914	137
484	137
506	135
1386	135
748	134
1298	134
1034	132
370	132
638	131
858	129
688	129
1518	129
1738	126
1364	125
350	125
1818	124
1496	124
1090	123
902	123
242	122
1674	122
374	122
682	121
1746	118
1606	117
968	116
954	115
610	112
738	112
1804	111
1562	111
522	111
1242	111
486	110
1808	110
1566	108
1314	107
1616	107
702	106
1422	106
102	105
414	105
558	105
1494	104
1328	102
854	102
1098	101
1962	100
666	100
1062	100
1602	100
1582	100
726	100
846	99
1744	99
1926	99
234	98
464	96
1164	96
1206	95
496	95
162	94
1552	94
406	93
752	92
656	91
1168	91
1806	90
602	90
322	90
1884	90
714	90
1712	87
1778	87
1946	87
294	86
1918	84
238	83
1498	83
592	83
1072	83
944	83
1068	83
1424	83
1302	82
658	81
994	80
1722	79
368	79
100	79
1358	79
1162	78
708	78
1526	77
1246	77
890	77
574	76
518	76
1572	76
348	76
848	76
434	75
1834	75
1956	75
876	75
976	73
1218	73
686	73
1812	72
826	72
1356	72
1284	71
742	71
1550	71
1274	71
996	71
410	70
1414	70
1974	70
1788	69
1570	69
1644	68
230	67
1150	67
516	67
1524	67
948	66
852	66
564	64
276	64
1370	64
1510	63
636	63
1668	63
1850	63
1810	62
1212	62
1022	62
1310	62
1990	62
530	61
130	61
290	60
1070	60
1910	60
730	59
1930	58
372	58
590	58
1776	58
670	56
1010	56
1270	56
1730	55
1630	55
568	55
492	55
790	54
970	54
250	53
1970	53
1390	53
1130	53
1490	52
344	52
830	51
1250	50
1450	47
1790	47
1670	47
310	47
1030	47
470	46
98	38
2010	32
90	30
2014	15
2004	13
2016	7
